City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Thompson,CA,75.2,few clouds,55.74,-97.86,Burntwood Hotel
2,Cayenne,GF,84.2,light rain,4.93,-52.33,Hôtel Le Dronmi
3,Boueni,YT,75.2,clear sky,-12.9,45.08,Auberge bouloulou( inter djasmire )
7,Vaini,TO,73.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
10,Atikokan,CA,70.0,broken clouds,48.76,-91.62,Camp Quetico
13,Hilo,US,77.0,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
14,Samarai,PG,76.84,light rain,-10.62,150.67,Nuli Sapi
18,Bambanglipuro,ID,70.38,broken clouds,-7.95,110.28,Puri Brata
21,Dharur,IN,76.35,moderate rain,18.82,76.12,Hotel Rajmahal
22,Bethel,US,80.01,overcast clouds,41.37,-73.41,Courtyard by Marriott Danbury
23,Sola,VU,76.33,few clouds,-13.88,167.55,Leumerus Bungalows
27,Bengkulu,ID,76.01,light rain,-3.8,102.27,Grage Hotel Bengkulu
29,Kapaa,US,80.6,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
30,Rikitea,PF,72.84,overcast clouds,-23.12,-134.97,Pension Maro'i
31,Ribeira Grande,PT,75.2,few clouds,38.52,-28.7,Quinta da Meia Eira
33,Hithadhoo,MV,83.05,broken clouds,-0.6,73.08,Scoop Guest House
35,Butaritari,KI,82.47,clear sky,3.07,172.79,Isles Sunset Lodge
38,Georgetown,MY,84.2,few clouds,5.41,100.34,Cititel Penang
42,Thanh Hoa,VN,76.32,overcast clouds,19.8,105.77,KHÁCH SẠN NGỌC LY 8
45,Teguise,ES,78.8,clear sky,29.06,-13.56,B&B La Casona de Nazaret
46,Vila Franca Do Campo,PT,75.2,few clouds,37.72,-25.43,Pestana Bahia Praia
48,Makakilo City,US,80.6,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
58,Marawi,PH,77.0,overcast clouds,8.0,124.29,Salihmaruhom
59,Campbellsville,US,78.8,broken clouds,37.34,-85.34,Holiday Inn Express Campbellsville
60,Huilong,CN,84.99,overcast clouds,31.81,121.66,Hilton Garden Inn Qidong
65,Yenagoa,NG,74.07,few clouds,4.92,6.26,Amba Hotels Limited
66,Springdale,US,84.2,scattered clouds,36.19,-94.13,Springdale Inn
70,Manacapuru,BR,80.6,scattered clouds,-3.3,-60.62,Novo Hotel
71,Mormugao,IN,78.8,light rain,15.4,73.8,Hotel La-Paz Gardens
73,Karaton,ID,78.8,mist,-6.34,106.1,Parkir Mobil Wisata CAS Water Park
76,Atuona,PF,78.62,clear sky,-9.8,-139.03,Villa Enata
77,Port Alfred,ZA,72.95,clear sky,-33.59,26.89,The Halyards Hotel
78,Sao Filipe,CV,78.67,overcast clouds,14.9,-24.5,Tortuga B&B
79,Scottsbluff,US,78.01,overcast clouds,41.87,-103.67,Hampton Inn & Suites Scottsbluff-Conference Center
80,Salinopolis,BR,82.76,light rain,-0.61,-47.36,Hotel Salinópolis
81,Trincomalee,LK,82.18,overcast clouds,8.57,81.23,Welcombe Hotel
85,Jamestown,US,73.0,mist,42.1,-79.24,Hampton Inn & Suites Jamestown
89,Auxerre,FR,73.0,broken clouds,47.8,3.57,Hôtel Les Maréchaux
92,Makurdi,NG,75.11,overcast clouds,7.74,8.51,Doo Palace Hotel
94,Puerto Ayora,EC,75.2,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
97,Mattru,SL,71.62,overcast clouds,7.62,-11.83,Boima Gbondo's Compound
99,Lagoa,PT,71.82,clear sky,39.05,-27.98,Casa Das Faias
100,Fort Nelson,CA,73.4,broken clouds,58.81,-122.7,The Fort Nelson Hotel
