City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6,-73.97,81.0,67,32,13.4,scattered clouds
1,Thompson,CA,55.74,-97.86,75.2,38,20,4.7,few clouds
2,Cayenne,GF,4.93,-52.33,84.2,70,67,5.82,light rain
3,Boueni,YT,-12.9,45.08,75.2,78,0,8.05,clear sky
4,Ushuaia,AR,-54.8,-68.3,41.0,75,40,24.16,scattered clouds
5,Camana,PE,-16.62,-72.71,64.06,67,92,8.34,overcast clouds
6,Kungurtug,RU,50.6,97.52,47.93,84,61,0.92,broken clouds
7,Vaini,TO,-21.2,-175.2,73.4,88,75,8.05,broken clouds
8,Timra,SE,62.49,17.33,63.0,82,38,10.29,scattered clouds
9,Narsaq,GL,60.92,-46.05,55.4,71,100,5.82,light intensity drizzle
10,Atikokan,CA,48.76,-91.62,70.0,36,77,8.72,broken clouds
11,Sitka,US,57.05,-135.33,57.2,87,90,5.82,mist
12,Bluff,NZ,-46.6,168.33,46.51,95,41,5.57,scattered clouds
13,Hilo,US,19.73,-155.09,77.0,73,90,8.05,overcast clouds
14,Samarai,PG,-10.62,150.67,76.84,86,100,11.74,light rain
15,Nikolskoye,RU,59.7,30.79,59.0,82,75,4.47,light intensity shower rain
16,Upernavik,GL,72.79,-56.15,43.61,65,100,7.65,overcast clouds
17,Punta Arenas,CL,-53.15,-70.92,44.6,65,0,20.8,clear sky
18,Bambanglipuro,ID,-7.95,110.28,70.38,88,61,3.2,broken clouds
19,Tiksi,RU,71.69,128.87,42.8,90,100,5.19,overcast clouds
20,Tomatlan,MX,19.93,-105.25,92.93,49,55,2.15,broken clouds
21,Dharur,IN,18.82,76.12,76.35,82,97,14.65,moderate rain
22,Bethel,US,41.37,-73.41,80.01,88,90,8.05,overcast clouds
23,Sola,VU,-13.88,167.55,76.33,90,24,16.91,few clouds
24,Alihe,CN,50.57,123.72,65.17,95,100,6.69,moderate rain
25,Cape Town,ZA,-33.93,18.42,61.0,87,0,10.29,clear sky
26,Avarua,CK,-21.21,-159.78,66.2,88,0,1.12,clear sky
27,Bengkulu,ID,-3.8,102.27,76.01,91,32,5.97,light rain
28,Kaitangata,NZ,-46.28,169.85,50.0,85,100,1.99,overcast clouds
29,Kapaa,US,22.08,-159.32,80.6,69,1,11.41,clear sky
30,Rikitea,PF,-23.12,-134.97,72.84,75,92,12.86,overcast clouds
31,Ribeira Grande,PT,38.52,-28.7,75.2,69,20,8.05,few clouds
32,Roald,NO,62.58,6.13,55.0,93,75,10.29,light intensity drizzle
33,Hithadhoo,MV,-0.6,73.08,83.05,77,55,11.68,broken clouds
34,Faya,SA,18.39,42.45,68.0,77,20,3.36,few clouds
35,Butaritari,KI,3.07,172.79,82.47,73,6,15.93,clear sky
36,Busselton,AU,-33.65,115.33,43.0,98,78,10.63,broken clouds
37,Severo-Kurilsk,RU,50.68,156.12,52.56,84,100,8.5,overcast clouds
38,Georgetown,MY,5.41,100.34,84.2,79,20,4.7,few clouds
39,Chuy,UY,-33.7,-53.46,63.45,85,100,4.9,overcast clouds
40,Tasiilaq,GL,65.61,-37.64,50.0,61,0,14.99,clear sky
41,Tuktoyaktuk,CA,69.45,-133.04,48.2,81,90,16.11,light rain
42,Thanh Hoa,VN,19.8,105.77,76.32,94,99,4.54,overcast clouds
43,Tupik,RU,54.43,119.93,58.57,94,100,3.85,overcast clouds
44,Qaanaaq,GL,77.48,-69.36,38.61,82,100,13.15,overcast clouds
45,Teguise,ES,29.06,-13.56,78.8,69,0,28.86,clear sky
46,Vila Franca Do Campo,PT,37.72,-25.43,75.2,64,20,8.05,few clouds
47,Hermanus,ZA,-34.42,19.23,61.2,66,0,4.47,clear sky
48,Makakilo City,US,21.35,-158.09,80.6,61,20,8.05,few clouds
49,Rundu,NA,-17.93,19.77,59.49,32,0,5.3,clear sky
50,Necochea,AR,-38.55,-58.74,54.0,82,74,8.01,broken clouds
51,Mataura,NZ,-46.19,168.86,47.03,95,92,1.88,overcast clouds
52,Kruisfontein,ZA,-34.0,24.73,65.7,27,0,9.51,clear sky
53,Castro,BR,-24.79,-50.01,67.01,53,0,5.32,clear sky
54,Fortuna,US,40.6,-124.16,66.99,76,4,5.01,clear sky
55,New Norfolk,AU,-42.78,147.06,46.0,85,96,1.01,light rain
56,Maues,BR,-3.38,-57.72,97.29,26,1,5.03,clear sky
57,Hobart,AU,-42.88,147.33,46.4,75,49,9.17,light rain
58,Marawi,PH,8.0,124.29,77.0,90,100,4.0,overcast clouds
59,Campbellsville,US,37.34,-85.34,78.8,54,75,4.7,broken clouds
60,Huilong,CN,31.81,121.66,84.99,78,99,3.0,overcast clouds
61,Kawalu,ID,-7.38,108.21,69.33,91,100,1.34,overcast clouds
62,Barrow,US,71.29,-156.79,39.2,80,90,11.41,overcast clouds
63,Beringovskiy,RU,63.05,179.32,47.3,76,100,18.79,overcast clouds
64,Kodinsk,RU,58.69,99.18,60.58,72,100,2.73,overcast clouds
65,Yenagoa,NG,4.92,6.26,74.07,88,22,5.06,few clouds
66,Springdale,US,36.19,-94.13,84.2,54,40,6.93,scattered clouds
67,Batemans Bay,AU,-35.72,150.18,41.0,91,100,4.52,overcast clouds
68,San Patricio,MX,19.22,-104.7,91.4,70,5,9.17,clear sky
69,Hwange,ZW,-18.37,26.5,57.76,38,0,1.54,clear sky
